angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,ground_truth,image_path
150,156,34,41,78,72,176,173,165,176,0,data/forwardBend125\46.jpg
176,178,47,53,79,72,174,176,132,146,0,data/forwardBend125\48.jpg
176,178,47,53,79,72,174,176,132,146,0,data/forwardBend125\48.jpg
164,167,72,78,66,62,179,178,162,171,0,data/forwardBend125\49.jpg
164,167,72,78,66,62,179,178,162,171,0,data/forwardBend125\49.jpg
170,167,77,76,62,62,174,174,166,166,0,data/forwardBend125\50.jpg
170,167,77,76,62,62,174,174,166,166,0,data/forwardBend125\50.jpg
138,125,12,7,99,98,177,177,164,159,0,data/forwardBend125\52.jpg
138,125,12,7,99,98,177,177,164,159,0,data/forwardBend125\52.jpg
170,171,38,42,111,109,177,179,179,179,0,data/forwardBend125\56.jpg
170,171,38,42,111,109,177,179,179,179,0,data/forwardBend125\56.jpg
171,175,69,71,74,72,177,175,179,174,0,data/forwardBend125\60.jpg
171,175,69,71,74,72,177,175,179,174,0,data/forwardBend125\60.jpg
163,164,59,61,85,81,178,177,167,172,0,data/forwardBend125\7.jpg
163,164,59,61,85,81,178,177,167,172,0,data/forwardBend125\7.jpg
176,179,114,118,56,54,178,177,168,164,1,data/forwardBend250\15.jpg
176,179,114,118,56,54,178,177,168,164,1,data/forwardBend250\15.jpg
173,173,115,119,59,56,174,175,179,178,1,data/forwardBend250\2.jpg
173,173,115,119,59,56,174,175,179,178,1,data/forwardBend250\2.jpg
165,165,101,105,62,56,171,164,179,179,1,data/forwardBend250\20.jpg
165,165,101,105,62,56,171,164,179,179,1,data/forwardBend250\20.jpg
168,169,124,121,50,53,179,177,178,177,1,data/forwardBend250\29.jpg
168,169,124,121,50,53,179,177,178,177,1,data/forwardBend250\29.jpg
168,169,124,121,50,53,179,177,178,177,1,data/forwardBend250\43.jpg
168,169,124,121,50,53,179,177,178,177,1,data/forwardBend250\43.jpg
176,177,79,75,84,82,165,165,163,167,1,data/forwardBend250\44.jpg
176,177,79,75,84,82,165,165,163,167,1,data/forwardBend250\44.jpg
174,172,111,113,60,57,178,178,168,167,1,data/forwardBend250\46.jpg
174,172,111,113,60,57,178,178,168,167,1,data/forwardBend250\46.jpg
163,163,99,104,63,57,171,163,174,178,1,data/forwardBend250\49.jpg
163,163,99,104,63,57,171,163,174,178,1,data/forwardBend250\49.jpg
170,169,100,102,65,60,178,176,177,179,1,data/forwardBend250\image1.png
170,169,100,102,65,60,178,176,177,179,1,data/forwardBend250\image1.png
173,165,98,96,65,61,171,170,175,169,1,data/forwardBend250\image10.png
173,165,98,96,65,61,171,170,175,169,1,data/forwardBend250\image10.png
173,166,98,98,64,59,165,163,175,167,1,data/forwardBend250\image11.png
173,166,98,98,64,59,165,163,175,167,1,data/forwardBend250\image11.png
175,166,99,98,63,59,164,162,177,167,1,data/forwardBend250\image12.png
175,166,99,98,63,59,164,162,177,167,1,data/forwardBend250\image12.png
175,174,103,104,65,62,163,161,173,169,1,data/forwardBend250\image13.png
175,174,103,104,65,62,163,161,173,169,1,data/forwardBend250\image13.png
161,161,86,86,58,52,147,142,177,173,1,data/forwardBend250\image14.png
161,161,86,86,58,52,147,142,177,173,1,data/forwardBend250\image14.png
168,166,93,94,58,54,152,150,177,172,1,data/forwardBend250\image15.png
168,166,93,94,58,54,152,150,177,172,1,data/forwardBend250\image15.png
176,169,93,91,67,63,158,154,174,169,1,data/forwardBend250\image17.png
176,169,93,91,67,63,158,154,174,169,1,data/forwardBend250\image17.png
169,168,98,99,47,46,153,153,174,171,1,data/forwardBend250\image18.png
169,168,98,99,47,46,153,153,174,171,1,data/forwardBend250\image18.png
167,167,95,98,66,62,176,175,178,176,1,data/forwardBend250\image2.png
167,167,95,98,66,62,176,175,178,176,1,data/forwardBend250\image2.png
170,170,109,112,51,51,159,161,178,169,1,data/forwardBend250\image20.png
170,170,109,112,51,51,159,161,178,169,1,data/forwardBend250\image20.png
174,164,89,85,67,66,173,175,178,153,1,data/forwardBend250\image21.png
174,164,89,85,67,66,173,175,178,153,1,data/forwardBend250\image21.png
175,165,94,91,64,63,174,176,178,155,1,data/forwardBend250\image22.png
175,165,94,91,64,63,174,176,178,155,1,data/forwardBend250\image22.png
174,170,104,100,72,72,179,179,171,164,1,data/forwardBend250\image27.png
174,170,104,100,72,72,179,179,171,164,1,data/forwardBend250\image27.png
174,170,97,94,70,68,178,178,159,153,1,data/forwardBend250\image28.png
174,170,97,94,70,68,178,178,159,153,1,data/forwardBend250\image28.png
173,167,106,107,60,58,173,172,177,179,1,data/forwardBend250\image33.png
173,167,106,107,60,58,173,172,177,179,1,data/forwardBend250\image33.png
169,170,93,94,52,47,145,141,178,179,1,data/forwardBend250\image34.png
169,170,93,94,52,47,145,141,178,179,1,data/forwardBend250\image34.png
168,171,90,92,53,47,141,138,179,179,1,data/forwardBend250\image35.png
168,171,90,92,53,47,141,138,179,179,1,data/forwardBend250\image35.png
168,166,86,88,52,46,137,135,173,171,1,data/forwardBend250\image36.png
168,166,86,88,52,46,137,135,173,171,1,data/forwardBend250\image36.png
172,166,96,97,68,63,178,177,173,169,1,data/forwardBend250\image4.png
172,166,96,97,68,63,178,177,173,169,1,data/forwardBend250\image4.png
168,168,86,89,78,73,178,179,165,167,1,data/forwardBend250\image5.png
168,168,86,89,78,73,178,179,165,167,1,data/forwardBend250\image5.png
176,169,95,95,83,79,175,174,165,179,1,data/forwardBend250\image6.png
176,169,95,95,83,79,175,174,165,179,1,data/forwardBend250\image6.png
169,169,80,81,86,83,172,172,174,171,1,data/forwardBend250\image7.png
169,169,80,81,86,83,172,172,174,171,1,data/forwardBend250\image7.png
168,167,76,78,89,85,177,173,176,167,1,data/forwardBend250\image8.png
168,167,76,78,89,85,177,173,176,167,1,data/forwardBend250\image8.png
174,174,87,90,92,87,176,174,174,171,1,data/forwardBend250\image9.png
174,174,87,90,92,87,176,174,174,171,1,data/forwardBend250\image9.png
174,173,156,154,18,20,179,178,136,149,2,data/forwardBend375\1.jpg
174,173,156,154,18,20,179,178,136,149,2,data/forwardBend375\1.jpg
166,167,107,112,53,48,174,176,93,106,2,data/forwardBend375\11.jpg
166,167,107,112,53,48,174,176,93,106,2,data/forwardBend375\11.jpg
169,167,116,124,55,47,179,179,164,158,2,data/forwardBend375\12.jpg
169,167,116,124,55,47,179,179,164,158,2,data/forwardBend375\12.jpg
132,138,103,96,50,48,175,177,107,131,2,data/forwardBend375\17.jpg
132,138,103,96,50,48,175,177,107,131,2,data/forwardBend375\17.jpg
174,174,109,110,54,50,163,159,173,171,2,data/forwardBend375\23.jpg
174,174,109,110,54,50,163,159,173,171,2,data/forwardBend375\23.jpg
163,162,133,132,32,33,173,170,118,140,2,data/forwardBend375\28.jpg
163,162,133,132,32,33,173,170,118,140,2,data/forwardBend375\28.jpg
162,168,90,90,66,64,178,177,127,137,2,data/forwardBend375\29.jpg
162,168,90,90,66,64,178,177,127,137,2,data/forwardBend375\29.jpg
175,169,146,137,25,29,167,167,127,135,2,data/forwardBend375\3.jpg
175,169,146,137,25,29,167,167,127,135,2,data/forwardBend375\3.jpg
175,165,117,112,43,44,166,170,158,174,2,data/forwardBend375\30.jpg
175,165,117,112,43,44,166,170,158,174,2,data/forwardBend375\30.jpg
160,148,138,125,22,31,174,178,123,121,2,data/forwardBend375\34.jpg
160,148,138,125,22,31,174,178,123,121,2,data/forwardBend375\34.jpg
175,175,156,151,25,31,178,172,100,109,2,data/forwardBend375\35.jpg
175,175,156,151,25,31,178,172,100,109,2,data/forwardBend375\35.jpg
158,173,143,149,17,22,173,177,114,132,2,data/forwardBend375\36.jpg
158,173,143,149,17,22,173,177,114,132,2,data/forwardBend375\36.jpg
177,167,121,119,54,47,176,178,162,167,2,data/forwardBend375\36_.jpg
177,167,121,119,54,47,176,178,162,167,2,data/forwardBend375\36_.jpg
177,171,161,155,32,34,173,173,112,109,2,data/forwardBend375\37.jpg
177,171,161,155,32,34,173,173,112,109,2,data/forwardBend375\37.jpg
172,173,102,101,73,71,169,169,151,156,2,data/forwardBend375\375 (1).jpg
172,173,102,101,73,71,169,169,151,156,2,data/forwardBend375\375 (1).jpg
175,172,139,141,40,37,175,178,115,133,2,data/forwardBend375\375 (2).jpg
175,172,139,141,40,37,175,178,115,133,2,data/forwardBend375\375 (2).jpg
163,162,126,127,28,27,176,175,115,136,2,data/forwardBend375\38.jpg
163,162,126,127,28,27,176,175,115,136,2,data/forwardBend375\38.jpg
167,168,106,103,58,60,175,176,139,128,2,data/forwardBend375\41.jpg
167,168,106,103,58,60,175,176,139,128,2,data/forwardBend375\41.jpg
138,134,114,112,26,27,166,164,118,126,2,data/forwardBend375\42.jpg
138,134,114,112,26,27,166,164,118,126,2,data/forwardBend375\42.jpg
172,170,134,129,31,35,177,179,99,117,2,data/forwardBend375\43.jpg
172,170,134,129,31,35,177,179,99,117,2,data/forwardBend375\43.jpg
163,166,106,108,47,45,178,178,113,124,2,data/forwardBend375\44.jpg
163,166,106,108,47,45,178,178,113,124,2,data/forwardBend375\44.jpg
162,162,100,105,65,60,170,175,93,127,2,data/forwardBend375\46.jpg
162,162,100,105,65,60,170,175,93,127,2,data/forwardBend375\46.jpg
172,171,108,114,64,56,174,178,165,162,2,data/forwardBend375\50.jpg
172,171,108,114,64,56,174,178,165,162,2,data/forwardBend375\50.jpg
170,167,133,129,45,43,174,178,109,116,2,data/forwardBend375\52.jpg
170,167,133,129,45,43,174,178,109,116,2,data/forwardBend375\52.jpg
169,165,132,137,38,33,179,175,117,118,2,data/forwardBend375\55.jpg
169,165,132,137,38,33,179,175,117,118,2,data/forwardBend375\55.jpg
164,156,130,121,33,37,167,168,112,102,2,data/forwardBend375\56.jpg
164,156,130,121,33,37,167,168,112,102,2,data/forwardBend375\56.jpg
173,173,101,101,73,70,171,171,145,153,2,data/forwardBend375\58.jpg
173,173,101,101,73,70,171,171,145,153,2,data/forwardBend375\58.jpg
169,168,116,123,55,47,179,179,160,155,2,data/forwardBend375\60.jpg
169,168,116,123,55,47,179,179,160,155,2,data/forwardBend375\60.jpg
162,166,105,109,59,54,179,174,105,122,2,data/forwardBend375\7.jpg
162,166,105,109,59,54,179,174,105,122,2,data/forwardBend375\7.jpg
179,171,132,132,45,43,177,175,140,138,2,data/forwardBend375\8.jpg
179,171,132,132,45,43,177,175,140,138,2,data/forwardBend375\8.jpg
164,158,131,131,38,36,178,177,129,125,2,data/forwardBend375\image1.png
164,158,131,131,38,36,178,177,129,125,2,data/forwardBend375\image1.png
165,162,132,138,36,31,176,174,125,126,2,data/forwardBend375\image10.png
165,162,132,138,36,31,176,174,125,126,2,data/forwardBend375\image10.png
164,161,126,131,38,36,169,171,115,121,2,data/forwardBend375\image11.png
164,161,126,131,38,36,169,171,115,121,2,data/forwardBend375\image11.png
158,151,117,124,44,39,171,169,126,125,2,data/forwardBend375\image12.png
158,151,117,124,44,39,171,169,126,125,2,data/forwardBend375\image12.png
155,153,118,124,43,39,172,168,126,126,2,data/forwardBend375\image13.png
155,153,118,124,43,39,172,168,126,126,2,data/forwardBend375\image13.png
165,161,128,132,40,36,172,173,131,132,2,data/forwardBend375\image14.png
165,161,128,132,40,36,172,173,131,132,2,data/forwardBend375\image14.png
167,156,123,125,42,39,166,169,131,132,2,data/forwardBend375\image15.png
167,156,123,125,42,39,166,169,131,132,2,data/forwardBend375\image15.png
173,169,143,145,41,39,172,173,132,119,2,data/forwardBend375\image16.png
173,169,143,145,41,39,172,173,132,119,2,data/forwardBend375\image16.png
172,166,138,141,48,44,170,170,138,125,2,data/forwardBend375\image17.png
172,166,138,141,48,44,170,170,138,125,2,data/forwardBend375\image17.png
175,170,144,146,43,40,175,175,129,124,2,data/forwardBend375\image19.png
175,170,144,146,43,40,175,175,129,124,2,data/forwardBend375\image19.png
168,162,136,134,36,34,178,178,114,120,2,data/forwardBend375\image2.png
168,162,136,134,36,34,178,178,114,120,2,data/forwardBend375\image2.png
172,166,135,135,41,39,173,174,121,123,2,data/forwardBend375\image20.png
172,166,135,135,41,39,173,174,121,123,2,data/forwardBend375\image20.png
174,167,137,135,42,39,173,172,122,120,2,data/forwardBend375\image21.png
174,167,137,135,42,39,173,172,122,120,2,data/forwardBend375\image21.png
164,164,124,130,40,36,172,171,114,121,2,data/forwardBend375\image22.png
164,164,124,130,40,36,172,171,114,121,2,data/forwardBend375\image22.png
160,151,114,115,45,44,171,172,124,123,2,data/forwardBend375\image23.png
160,151,114,115,45,44,171,172,124,123,2,data/forwardBend375\image23.png
153,156,107,118,29,23,132,134,128,133,2,data/forwardBend375\image24.png
153,156,107,118,29,23,132,134,128,133,2,data/forwardBend375\image24.png
172,168,148,146,33,32,178,178,126,120,2,data/forwardBend375\image3.png
172,168,148,146,33,32,178,178,126,120,2,data/forwardBend375\image3.png
166,159,136,135,42,40,176,177,130,124,2,data/forwardBend375\image4.png
166,159,136,135,42,40,176,177,130,124,2,data/forwardBend375\image4.png
169,165,124,127,26,22,174,175,137,144,3,data/forwardBend500\1.jpg
169,165,124,127,26,22,174,175,137,144,3,data/forwardBend500\1.jpg
117,118,78,80,33,34,165,176,99,109,3,data/forwardBend500\10.jpg
117,118,78,80,33,34,165,176,99,109,3,data/forwardBend500\10.jpg
177,176,115,121,39,37,177,177,126,137,3,data/forwardBend500\12500.jpg
177,176,115,121,39,37,177,177,126,137,3,data/forwardBend500\12500.jpg
158,165,120,116,23,30,176,170,71,85,3,data/forwardBend500\21.jpg
158,165,120,116,23,30,176,170,71,85,3,data/forwardBend500\21.jpg
149,142,132,110,15,22,163,179,139,161,3,data/forwardBend500\26.jpg
149,142,132,110,15,22,163,179,139,161,3,data/forwardBend500\26.jpg
155,157,85,91,58,48,176,179,116,136,3,data/forwardBend500\32.jpg
155,157,85,91,58,48,176,179,116,136,3,data/forwardBend500\32.jpg
153,156,90,93,38,38,179,177,79,92,3,data/forwardBend500\37.jpg
153,156,90,93,38,38,179,177,79,92,3,data/forwardBend500\37.jpg
159,159,116,113,26,25,174,178,101,124,3,data/forwardBend500\38.jpg
159,159,116,113,26,25,174,178,101,124,3,data/forwardBend500\38.jpg
152,151,137,134,11,13,176,177,111,135,3,data/forwardBend500\43.jpg
152,151,137,134,11,13,176,177,111,135,3,data/forwardBend500\43.jpg
170,175,79,82,57,55,167,167,73,83,3,data/forwardBend500\44.jpg
170,175,79,82,57,55,167,167,73,83,3,data/forwardBend500\44.jpg
178,176,117,117,40,35,169,173,121,134,3,data/forwardBend500\45.jpg
178,176,117,117,40,35,169,173,121,134,3,data/forwardBend500\45.jpg
144,158,69,76,40,37,161,165,81,104,3,data/forwardBend500\49.jpg
144,158,69,76,40,37,161,165,81,104,3,data/forwardBend500\49.jpg
154,155,115,114,28,27,173,175,112,135,3,data/forwardBend500\5.jpg
154,155,115,114,28,27,173,175,112,135,3,data/forwardBend500\5.jpg
155,157,92,87,39,40,172,173,93,115,3,data/forwardBend500\50.jpg
155,157,92,87,39,40,172,173,93,115,3,data/forwardBend500\50.jpg
161,165,124,117,28,33,179,175,96,111,3,data/forwardBend500\52.jpg
161,165,124,117,28,33,179,175,96,111,3,data/forwardBend500\52.jpg
156,163,121,117,22,29,179,176,79,95,3,data/forwardBend500\53.jpg
156,163,121,117,22,29,179,176,79,95,3,data/forwardBend500\53.jpg
166,166,149,141,10,13,175,175,91,116,3,data/forwardBend500\57.jpg
166,166,149,141,10,13,175,175,91,116,3,data/forwardBend500\57.jpg
151,159,114,120,26,25,173,177,82,122,3,data/forwardBend500\58.jpg
151,159,114,120,26,25,173,177,82,122,3,data/forwardBend500\58.jpg
165,164,116,114,29,31,179,173,79,103,3,data/forwardBend500\59.jpg
165,164,116,114,29,31,179,173,79,103,3,data/forwardBend500\59.jpg
167,169,111,109,30,30,172,172,90,106,3,data/forwardBend500\6.jpg
167,169,111,109,30,30,172,172,90,106,3,data/forwardBend500\6.jpg
164,167,108,112,39,37,173,173,126,134,3,data/forwardBend500\60.jpg
164,167,108,112,39,37,173,173,126,134,3,data/forwardBend500\60.jpg
152,142,129,121,15,17,175,178,85,102,3,data/forwardBend500\9.jpg
152,142,129,121,15,17,175,178,85,102,3,data/forwardBend500\9.jpg
167,174,92,95,35,33,146,144,110,131,3,data/forwardBend500\image10.png
167,174,92,95,35,33,146,144,110,131,3,data/forwardBend500\image10.png
166,171,108,111,41,42,178,178,162,166,3,data/forwardBend500\image13.png
166,171,108,111,41,42,178,178,162,166,3,data/forwardBend500\image13.png
164,170,109,109,40,43,177,176,148,156,3,data/forwardBend500\image14.png
164,170,109,109,40,43,177,176,148,156,3,data/forwardBend500\image14.png
162,171,111,113,37,40,176,174,135,150,3,data/forwardBend500\image15.png
162,171,111,113,37,40,176,174,135,150,3,data/forwardBend500\image15.png
161,171,107,108,26,29,161,164,110,124,3,data/forwardBend500\image17.png
161,171,107,108,26,29,161,164,110,124,3,data/forwardBend500\image17.png
164,169,110,112,38,39,179,176,101,116,3,data/forwardBend500\image4.png
164,169,110,112,38,39,179,176,101,116,3,data/forwardBend500\image4.png
160,173,102,108,32,32,162,163,107,126,3,data/forwardBend500\image5.png
160,173,102,108,32,32,162,163,107,126,3,data/forwardBend500\image5.png
164,172,97,102,30,26,146,144,101,117,3,data/forwardBend500\image6.png
164,172,97,102,30,26,146,144,101,117,3,data/forwardBend500\image6.png
163,174,104,111,29,25,153,151,105,123,3,data/forwardBend500\image7.png
163,174,104,111,29,25,153,151,105,123,3,data/forwardBend500\image7.png
165,179,93,101,33,29,148,145,110,130,3,data/forwardBend500\image8.png
165,179,93,101,33,29,148,145,110,130,3,data/forwardBend500\image8.png
168,171,94,96,35,32,150,147,111,122,3,data/forwardBend500\image9.png
168,171,94,96,35,32,150,147,111,122,3,data/forwardBend500\image9.png
